Year,Gtm,Month,Home,Opp,Win,pitchIP,pitchH,pitchR,pitchER,pitchUER,pitchBB,pitchSO,pitchHR,pitchHBP,pitchERA,pitchBF,pitchPit,pitchStr,pitchIR,pitchIS,pitchSB,pitchCS,pitchAB,pitch1B,pitch2B,pitch3B,pitchIBB,pitchSH,pitchSF,pitchROE,pitchGDP,numPitchers,PA,AB,R,H,1B,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,Thr,OppStarter,OppGameScore,RD
2022,1,Apr,1,CIN,0,9,10,6,6,0,1,13,1,1,6,38,142,94,2,2,0,0,35,9,0,0,0,0,1,0,1,4,36,31,3,4,3,0,0,1,2,5,0,13,0,0,0,0,0,0,0,0.129,0.25,0.226,0.476,6,R,T.Mahle(64),64,-3
2022,2,Apr,1,CIN,1,9,6,6,6,0,3,7,0,1,6,37,140,93,1,1,0,0,32,5,1,0,0,0,1,0,0,5,39,31,7,8,6,2,0,0,7,7,0,8,0,0,1,1,1,0,0,0.194,0.32,0.274,0.594,8,L,R.Sanmartin(26),26,1
2022,3,Apr,1,CIN,1,9,3,1,1,0,2,9,0,0,4.33,32,130,87,1,0,1,0,29,3,0,0,0,0,0,0,1,4,36,29,2,8,4,4,0,0,2,4,0,7,2,0,1,0,0,0,0,0.22,0.342,0.319,0.661,10,R,V.Gutiérrez(45),45,1
2022,4,Apr,1,CIN,0,9,7,6,6,0,6,10,1,0,4.75,40,181,108,3,2,1,0,34,4,2,0,0,0,0,0,0,4,35,32,3,7,4,1,0,2,3,2,0,10,0,0,1,0,1,0,0,0.22,0.322,0.35,0.672,5,R,H.Greene(52),52,-3
2022,5,Apr,1,WSN,0,9,15,11,11,0,7,9,1,1,6,49,201,118,2,1,0,1,41,12,2,0,0,0,0,0,0,3,34,31,2,4,3,1,0,0,2,3,0,8,0,0,0,0,0,0,0,0.201,0.3,0.312,0.612,5,L,J.Rogers(61),61,-9
2022,6,Apr,1,WSN,1,9,9,4,4,0,1,8,2,0,5.67,36,150,89,1,0,0,0,35,4,3,0,0,0,0,0,1,3,52,42,16,19,11,5,0,3,14,9,0,8,1,0,0,0,0,0,0,0.255,0.358,0.413,0.771,12,L,P.Corbin(16),16,12
2022,7,Apr,1,WSN,0,9,7,3,2,1,0,9,0,0,5.14,34,128,89,2,1,0,0,33,6,1,0,0,0,1,0,0,5,31,27,1,3,2,0,0,1,1,3,0,8,1,0,0,0,2,0,1,0.238,0.342,0.39,0.732,3,R,J.Gray(67),67,-2
2022,8,Apr,0,SDP,0,8,16,12,8,4,5,6,2,2,5.58,48,168,101,0,0,3,0,40,11,3,0,0,0,1,2,1,4,32,32,1,6,4,1,0,1,1,0,0,9,0,0,0,0,1,0,0,0.231,0.325,0.38,0.706,4,R,J.Musgrove(72),72,-11
2022,9,Apr,0,SDP,1,9,6,2,2,0,0,16,0,1,5.17,34,145,97,0,0,1,0,33,4,2,0,0,0,0,0,0,5,39,35,5,9,6,2,0,1,4,4,0,9,0,0,0,0,1,0,0,0.234,0.326,0.383,0.709,7,L,M.Gore(55),55,3
2022,10,Apr,0,SDP,1,9,4,2,2,0,1,11,2,0,4.85,32,142,90,2,0,0,0,31,2,0,0,0,0,0,0,0,4,39,33,5,9,3,3,0,3,5,4,0,6,1,0,1,0,2,0,0,0.238,0.33,0.409,0.738,7,R,N.Martinez(36),36,3
